TrackTitle,TrackDescription,FileName,Keywords,MediaCode,TrackTime,TrackCD,TrackTrack,TrackIndex,
DepartmentStoreBG BT010601,Department Store - Many Phones Bells Etc. / Busy,DepartmentStoreBG BT010601.wav,Rooms & Tones Department Store,BT-01 Interiors,0:02:03,BT-01,6,1,
DepartmentStoreDis BT010501,Department Store - Distant Music Female Walla,DepartmentStoreDis BT010501.wav,Rooms & Tones Department Store,BT-01 Interiors,0:02:03,BT-01,5,1,
DepartmentStoreDis BT010501,Department Store - Distant Music Female Walla,DepartmentStoreDis BT010501.wav,Rooms & Tones Department Store,BT-01 Interiors,0:02:03,BT-01,5,1,
DesertDayWindCrick BT020701,Desert Day - Wind Crickets Birds,DesertDayWindCrick BT020701.wav,Animals-Insects BGs Desert,BT-02 Nature,0:02:03,BT-02,7,1,
DesertDayWindCrick BT020701,Desert Day - Wind Crickets Birds,DesertDayWindCrick BT020701.wav,Animals-Insects BGs Desert,BT-02 Nature,0:02:03,BT-02,7,1,
DesertFliesDistant BT020601,Desert - Flies Distant Birds Etc.,DesertFliesDistant BT020601.wav,Animals-Insects BGs Desert,BT-02 Nature,0:02:04,BT-02,6,1,
DesertFliesDistant BT020601,Desert - Flies Distant Birds Etc.,DesertFliesDistant BT020601.wav,Animals-Insects BGs Desert,BT-02 Nature,0:02:04,BT-02,6,1,
DishwasherSteady BT010701,Dishwasher - Steady / Drone In Kitchen,DishwasherSteady BT010701.wav,Household Appliances,BT-01 Interiors,0:01:03,BT-01,7,1,
DishwasherSteady BT010701,Dishwasher - Steady / Drone In Kitchen,DishwasherSteady BT010701.wav,Household Appliances,BT-01 Interiors,0:01:03,BT-01,7,1,
DispatchRoomRadio BT010801,Dispatch Room - Radio Chatter & Static,DispatchRoomRadio BT010801.wav,Rooms & Tones Dispatch,BT-01 Interiors,0:01:03,BT-01,8,1,
DispatchRoomRadio BT010801,Dispatch Room - Radio Chatter & Static,DispatchRoomRadio BT010801.wav,Rooms & Tones Dispatch,BT-01 Interiors,0:01:03,BT-01,8,1,
DripsEchoeyCaveIrr BT050701,Drips - Echoey In Cave Irregular,DripsEchoeyCaveIrr BT050701.wav,Caves & Tunnels Drips,BT-05 Water,0:02:04,BT-05,7,1,
DripsEchoeyCaveIrr BT050701,Drips - Echoey In Cave Irregular,DripsEchoeyCaveIrr BT050701.wav,Caves & Tunnels Drips,BT-05 Water,0:02:04,BT-05,7,1,
DripsIndustrialBac BT050801,Drips - Industrial Background With Light Hum / Distant,DripsIndustrialBac BT050801.wav,Water-Drips Drips,BT-05 Water,0:02:03,BT-05,8,1,
DripsIndustrialBac BT050801,Drips - Industrial Background With Light Hum / Distant,DripsIndustrialBac BT050801.wav,Water-Drips Drips,BT-05 Water,0:02:03,BT-05,8,1,
DripsSinkOrTub BT050901,Drips - Into Sink Or Tub,DripsSinkOrTub BT050901.wav,Water-Splashes & Sprays Fountain,BT-05 Water,0:02:04,BT-05,9,1,
